EmpID,Age,AgeGroup,MaritalStatus,Gender,Attrition,EducationField,EnvironmentSatisfaction,JobRole,Department,JobLevel,JobInvolvement,JobSatisfaction,PerformanceRating,MonthlyIncome,SalarySlab,HourlyRate,DailyRate,PercentSalaryHike,BusinessTravel,Distance From Home,OverTime,StandardHours,RelationshipSatisfaction,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
RM011,35,26-35,Married,Male,No,Medical,Low,Laboratory Technician,Research & Development,Entry Level,Very High,Medium,Low,"$2,426.00 ",Upto 5k,$84.00 ,$809.00 ,13,Rarely,Moderate,No,80,Strong,6,5,4,0
RM012,29,26-35,Single,Female,No,Life Sciences,Very High,Laboratory Technician,Research & Development,Intermediate,Medium,High,Low,"$4,193.00 ",Upto 5k,$49.00 ,$153.00 ,12,Rarely,Moderate,Yes,80,Very Strong,10,9,5,0
RM013,31,26-35,Divorced,Male,No,Life Sciences,Low,Research Scientist,Research & Development,Entry Level,High,High,Low,"$2,911.00 ",Upto 5k,$31.00 ,$670.00 ,17,Rarely,Far,No,80,Very Strong,5,5,2,4
RM014,34,26-35,Divorced,Male,No,Medical,Medium,Laboratory Technician,Research & Development,Entry Level,High,Very High,Low,"$2,661.00 ",Upto 5k,$93.00 ,"$1,346.00 ",11,Rarely,Moderate,No,80,Strong,3,2,2,1
RM015,28,26-35,Single,Male,Yes,Life Sciences,High,Laboratory Technician,Research & Development,Entry Level,Medium,High,Low,"$2,028.00 ",Upto 5k,$50.00 ,$103.00 ,14,Rarely,Far,Yes,80,Neutral,6,4,2,0
RM016,29,26-35,Divorced,Female,No,Life Sciences,Medium,Manufacturing Director,Research & Development,Senior,Very High,Low,Low,"$9,980.00 ",5k-10k,$51.00 ,"$1,389.00 ",11,Rarely,Far,No,80,Strong,10,10,9,8
RM017,32,26-35,Divorced,Male,No,Life Sciences,Low,Research Scientist,Research & Development,Entry Level,Very High,Medium,Low,"$3,298.00 ",Upto 5k,$80.00 ,$334.00 ,12,Rarely,Near,Yes,80,Very Strong,7,6,2,0
RM018,22,18-25,Divorced,Male,No,Medical,Very High,Laboratory Technician,Research & Development,Entry Level,Very High,Very High,Low,"$2,935.00 ",Upto 5k,$96.00 ,"$1,123.00 ",13,Non,Moderate,Yes,80,Neutral,1,1,0,0
RM019,53,46-55,Married,Female,No,Life Sciences,Low,Manager,Sales,Manager,Medium,Very High,Low,"$15,427.00 ",15k+,$78.00 ,"$1,219.00 ",16,Rarely,Near,No,80,Strong,31,25,8,3
RM020,38,36-45,Single,Male,No,Life Sciences,Very High,Research Scientist,Research & Development,Entry Level,High,Very High,Low,"$3,944.00 ",Upto 5k,$45.00 ,$371.00 ,11,Rarely,Near,Yes,80,Strong,6,3,2,1
RM021,24,18-25,Divorced,Female,No,Other,Low,Manufacturing Director,Research & Development,Intermediate,Very High,High,Low,"$4,011.00 ",Upto 5k,$96.00 ,$673.00 ,18,Non,Moderate,No,80,Very Strong,5,4,2,1
RM022,36,36-45,Single,Male,Yes,Life Sciences,High,Sales Representative,Sales,Entry Level,Medium,Low,High,"$3,407.00 ",Upto 5k,$82.00 ,"$1,218.00 ",23,Rarely,Near,No,80,Neutral,10,5,3,0
RM023,34,26-35,Single,Female,No,Life Sciences,Low,Research Director,Research & Development,Senior,High,Medium,Low,"$11,994.00 ",10k-15k,$53.00 ,$419.00 ,11,Rarely,Near,No,80,Strong,13,12,6,2
RM024,21,18-25,Single,Male,No,Life Sciences,High,Research Scientist,Research & Development,Entry Level,High,Very High,Low,"$1,232.00 ",Upto 5k,$96.00 ,$391.00 ,14,Rarely,Moderate,No,80,Very Strong,0,0,0,0
RM025,34,26-35,Single,Male,Yes,Medical,Medium,Research Scientist,Research & Development,Entry Level,High,Low,Low,"$2,960.00 ",Upto 5k,$83.00 ,$699.00 ,11,Rarely,Near,No,80,Strong,8,4,2,1
RM026,53,46-55,Divorced,Female,No,Other,High,Manager,Research & Development,Executive,High,High,Low,"$19,094.00 ",15k+,$58.00 ,"$1,282.00 ",11,Rarely,Near,No,80,Very Strong,26,14,13,4
RM027,32,26-35,Single,Female,Yes,Life Sciences,Medium,Research Scientist,Research & Development,Entry Level,Low,Low,High,"$3,919.00 ",Upto 5k,$72.00 ,"$1,125.00 ",22,Frequently,Moderate,Yes,80,Neutral,10,10,2,6
RM028,42,36-45,Married,Male,No,Marketing,High,Sales Executive,Sales,Intermediate,High,Medium,Low,"$6,825.00 ",5k-10k,$48.00 ,$691.00 ,11,Rarely,Near,No,80,Very Strong,10,9,7,4
RM029,44,36-45,Married,Female,No,Medical,Low,Healthcare Representative,Research & Development,Senior,Medium,Very High,Low,"$10,248.00 ",10k-15k,$42.00 ,$477.00 ,14,Rarely,Near,No,80,Very Strong,24,22,6,5
RM030,46,46-55,Single,Female,No,Marketing,Medium,Manager,Sales,Executive,High,Low,Low,"$18,947.00 ",15k+,$83.00 ,$705.00 ,12,Rarely,Near,No,80,Very Strong,22,2,2,2
RM031,33,26-35,Single,Male,No,Medical,High,Laboratory Technician,Research & Development,Entry Level,High,Very High,Low,"$2,496.00 ",Upto 5k,$78.00 ,$924.00 ,11,Rarely,Near,No,80,Very Strong,7,1,1,0
RM032,44,36-45,Married,Male,No,Other,Very High,Healthcare Representative,Research & Development,Intermediate,High,Very High,Low,"$6,465.00 ",5k-10k,$41.00 ,"$1,459.00 ",13,Rarely,Near,Yes,80,Very Strong,9,4,2,1
RM033,30,26-35,Single,Male,No,Medical,Very High,Laboratory Technician,Research & Development,Entry Level,Medium,High,Low,"$2,206.00 ",Upto 5k,$83.00 ,$125.00 ,13,Rarely,Near,No,80,Weak,10,10,0,1
RM034,39,36-45,Married,Male,Yes,Technical Degree,Very High,Sales Representative,Sales,Intermediate,High,Very High,Low,"$2,086.00 ",Upto 5k,$56.00 ,$895.00 ,14,Rarely,Near,No,80,Strong,19,1,0,0
RM035,24,18-25,Married,Male,Yes,Medical,Medium,Research Scientist,Research & Development,Entry Level,High,Very High,Low,"$2,293.00 ",Upto 5k,$61.00 ,$813.00 ,16,Rarely,Near,Yes,80,Weak,6,2,0,2
RM036,43,36-45,Divorced,Female,No,Medical,Very High,Research Scientist,Research & Development,Entry Level,Very High,High,Low,"$2,645.00 ",Upto 5k,$72.00 ,"$1,273.00 ",12,Rarely,Near,No,80,Very Strong,6,5,3,1
RM037,50,46-55,Married,Male,Yes,Marketing,Low,Sales Representative,Sales,Entry Level,Medium,High,Low,"$2,683.00 ",Upto 5k,$86.00 ,$869.00 ,14,Rarely,Near,Yes,80,Strong,3,3,2,0
RM038,35,26-35,Married,Female,No,Marketing,Very High,Sales Representative,Sales,Entry Level,High,Very High,Low,"$2,014.00 ",Upto 5k,$97.00 ,$890.00 ,13,Rarely,Near,No,80,Weak,2,2,2,2
RM039,36,36-45,Married,Female,No,Life Sciences,Medium,Research Scientist,Research & Development,Entry Level,Medium,Low,Low,"$3,419.00 ",Upto 5k,$82.00 ,$852.00 ,14,Rarely,Near,Yes,80,Very Strong,6,1,1,0
RM040,33,26-35,Married,Female,No,Life Sciences,High,Sales Executive,Sales,Intermediate,Very High,Low,Low,"$5,376.00 ",5k-10k,$42.00 ,"$1,141.00 ",19,Frequently,Near,No,80,Weak,10,5,3,1
RM041,35,26-35,Divorced,Male,No,Other,High,Laboratory Technician,Research & Development,Entry Level,High,Very High,Low,"$1,951.00 ",Upto 5k,$75.00 ,$464.00 ,12,Rarely,Near,No,80,Strong,1,1,0,0
RM042,27,26-35,Divorced,Female,No,Life Sciences,Very High,Laboratory Technician,Research & Development,Entry Level,High,Low,Low,"$2,341.00 ",Upto 5k,$33.00 ,"$1,240.00 ",13,Rarely,Near,No,80,Very Strong,1,1,0,0
RM043,26,26-35,Single,Male,Yes,Life Sciences,Low,Laboratory Technician,Research & Development,Entry Level,Low,High,Low,"$2,293.00 ",Upto 5k,$48.00 ,"$1,357.00 ",12,Rarely,Far,No,80,Strong,1,1,0,0
RM044,27,26-35,Single,Male,No,Life Sciences,Very High,Sales Executive,Sales,Senior,High,High,Low,"$8,726.00 ",5k-10k,$37.00 ,$994.00 ,15,Frequently,Near,No,80,Very Strong,9,9,8,1
RM045,30,26-35,Single,Female,No,Medical,High,Laboratory Technician,Research & Development,Intermediate,High,Very High,High,"$4,011.00 ",Upto 5k,$58.00 ,$721.00 ,23,Frequently,Near,No,80,Very Strong,12,12,8,3
RM046,41,36-45,Married,Female,Yes,Technical Degree,Medium,Research Director,Research & Development,Executive,High,High,Low,"$19,545.00 ",15k+,$49.00 ,"$1,360.00 ",12,Rarely,Moderate,No,80,Very Strong,23,22,15,15
RM047,34,26-35,Single,Male,No,Marketing,Medium,Sales Executive,Sales,Intermediate,High,High,High,"$4,568.00 ",Upto 5k,$72.00 ,"$1,065.00 ",20,Non,Far,No,80,Strong,10,9,5,8
RM048,37,36-45,Married,Male,No,Life Sciences,Medium,Research Scientist,Research & Development,Entry Level,High,Medium,High,"$3,022.00 ",Upto 5k,$73.00 ,$408.00 ,21,Rarely,Moderate,No,80,Weak,8,1,0,0
RM049,46,46-55,Single,Male,No,Marketing,Low,Sales Executive,Sales,Intermediate,High,Very High,High,"$5,772.00 ",5k-10k,$98.00 ,"$1,211.00 ",21,Frequently,Near,Yes,80,Strong,14,9,6,0
RM050,35,26-35,Married,Male,No,Life Sciences,Very High,Laboratory Technician,Research & Development,Entry Level,Very High,Very High,Low,"$2,269.00 ",Upto 5k,$36.00 ,"$1,229.00 ",19,Rarely,Near,No,80,Very Strong,1,1,0,0
RM051,48,46-55,Single,Male,Yes,Life Sciences,Low,Laboratory Technician,Research & Development,Senior,Medium,High,Low,"$5,381.00 ",5k-10k,$98.00 ,$626.00 ,13,Rarely,Near,Yes,80,Very Strong,23,1,0,0
RM052,28,26-35,Single,Male,Yes,Technical Degree,High,Laboratory Technician,Research & Development,Entry Level,High,High,Low,"$3,441.00 ",Upto 5k,$50.00 ,"$1,434.00 ",13,Rarely,Near,Yes,80,Strong,2,2,2,2
RM053,44,36-45,Divorced,Female,No,Marketing,Medium,Sales Executive,Sales,Intermediate,High,Low,High,"$5,454.00 ",5k-10k,$75.00 ,"$1,488.00 ",21,Rarely,Near,Yes,80,Strong,9,4,3,1
RM054,35,26-35,Married,Male,No,Medical,High,Healthcare Representative,Research & Development,Senior,Medium,Low,Low,"$9,884.00 ",5k-10k,$79.00 ,"$1,097.00 ",13,Non,Moderate,Yes,80,Strong,10,4,0,2
RM055,26,26-35,Married,Female,No,Marketing,High,Sales Executive,Sales,Intermediate,Medium,Very High,Low,"$4,157.00 ",Upto 5k,$47.00 ,"$1,443.00 ",19,Rarely,Far,Yes,80,Strong,5,2,2,0
RM056,33,26-35,Single,Female,No,Life Sciences,Low,Research Director,Research & Development,Senior,High,Very High,Low,"$13,458.00 ",10k-15k,$98.00 ,$515.00 ,12,Frequently,Near,Yes,80,Strong,15,15,14,8
RM057,35,26-35,Married,Male,No,Life Sciences,Medium,Sales Executive,Sales,Senior,High,Low,High,"$9,069.00 ",5k-10k,$71.00 ,$853.00 ,22,Frequently,Moderate,No,80,Very Strong,9,9,8,1
RM058,35,26-35,Married,Female,No,Medical,High,Laboratory Technician,Research & Development,Entry Level,High,Low,Low,"$4,014.00 ",Upto 5k,$30.00 ,"$1,142.00 ",15,Rarely,Far,Yes,80,Strong,4,2,2,2
RM059,31,26-35,Divorced,Male,No,Life Sciences,Very High,Laboratory Technician,Research & Development,Intermediate,High,Very High,High,"$5,915.00 ",5k-10k,$48.00 ,$655.00 ,22,Rarely,Near,No,80,Very Strong,10,7,7,1
RM060,37,36-45,Divorced,Male,No,Life Sciences,Low,Manufacturing Director,Research & Development,Intermediate,Medium,High,Low,"$5,993.00 ",5k-10k,$51.00 ,"$1,115.00 ",18,Rarely,Near,No,80,Strong,7,7,5,0
RM061,32,26-35,Married,Male,No,Medical,Low,Manufacturing Director,Research & Development,Intermediate,High,Very High,High,"$6,162.00 ",5k-10k,$33.00 ,$427.00 ,22,Rarely,Near,Yes,80,Neutral,9,9,8,7
RM062,38,36-45,Single,Female,No,Life Sciences,Very High,Laboratory Technician,Research & Development,Intermediate,High,Very High,Low,"$2,406.00 ",Upto 5k,$50.00 ,$653.00 ,11,Frequently,Far,No,80,Very Strong,10,10,3,9
RM063,50,46-55,Divorced,Female,No,Medical,Medium,Research Director,Research & Development,Executive,Medium,High,Low,"$18,740.00 ",15k+,$43.00 ,$989.00 ,12,Rarely,Near,Yes,80,Very Strong,29,27,3,13
RM064,59,55+,Single,Female,No,Life Sciences,Low,Sales Executive,Sales,Senior,High,Low,Low,"$7,637.00 ",5k-10k,$99.00 ,"$1,435.00 ",11,Rarely,Far,No,80,Very Strong,28,21,16,7
RM065,36,36-45,Divorced,Female,No,Technical Degree,High,Healthcare Representative,Research & Development,Senior,High,High,Low,"$10,096.00 ",10k-15k,$59.00 ,"$1,223.00 ",13,Rarely,Near,No,80,Neutral,17,17,14,12
RM066,55,46-55,Divorced,Female,No,Medical,Very High,Manager,Research & Development,Manager,High,High,Low,"$14,756.00 ",10k-15k,$33.00 ,$836.00 ,14,Rarely,Near,Yes,80,Strong,21,5,0,0
RM067,36,36-45,Single,Male,No,Life Sciences,Medium,Manufacturing Director,Research & Development,Intermediate,Medium,Medium,Low,"$6,499.00 ",5k-10k,$95.00 ,"$1,195.00 ",13,Frequently,Moderate,No,80,Strong,6,6,5,0
RM068,45,36-45,Divorced,Male,No,Life Sciences,Medium,Research Scientist,Research & Development,Senior,High,Low,Low,"$9,724.00 ",5k-10k,$59.00 ,"$1,339.00 ",17,Rarely,Near,No,80,Strong,25,1,0,0
RM069,35,26-35,Married,Male,No,Medical,Medium,Research Scientist,Research & Development,Entry Level,High,Low,Low,"$2,194.00 ",Upto 5k,$79.00 ,$664.00 ,13,Frequently,Near,No,80,Very Strong,5,3,2,1
RM070,36,36-45,Married,Male,Yes,Medical,Very High,Research Scientist,Research & Development,Entry Level,Medium,High,Low,"$3,388.00 ",Upto 5k,$79.00 ,$318.00 ,17,Rarely,Near,Yes,80,Weak,2,1,0,0
RM071,59,55+,Single,Female,No,Life Sciences,Low,Sales Executive,Sales,Intermediate,Medium,High,Low,"$5,473.00 ",5k-10k,$57.00 ,"$1,225.00 ",11,Frequently,Near,No,80,Very Strong,20,4,3,1
RM072,29,26-35,Married,Male,No,Life Sciences,High,Research Scientist,Research & Development,Entry Level,High,Medium,High,"$2,703.00 ",Upto 5k,$76.00 ,"$1,328.00 ",23,Rarely,Near,No,80,Very Strong,6,5,4,0
RM073,31,26-35,Single,Male,No,Medical,High,Research Scientist,Research & Development,Entry Level,High,Medium,Low,"$2,501.00 ",Upto 5k,$87.00 ,"$1,082.00 ",17,Rarely,Near,No,80,Neutral,1,1,1,1
RM074,32,26-35,Married,Male,No,Life Sciences,Medium,Research Scientist,Research & Development,Intermediate,High,Medium,Low,"$6,220.00 ",5k-10k,$66.00 ,$548.00 ,17,Rarely,Near,No,80,Neutral,10,10,4,0
RM075,36,36-45,Married,Female,No,Life Sciences,Medium,Laboratory Technician,Research & Development,Entry Level,Very High,Very High,Low,"$3,038.00 ",Upto 5k,$55.00 ,$132.00 ,12,Rarely,Near,No,80,Neutral,5,1,0,0
RM076,31,26-35,Single,Female,No,Life Sciences,High,Manufacturing Director,Research & Development,Intermediate,High,Very High,High,"$4,424.00 ",Upto 5k,$61.00 ,$746.00 ,23,Rarely,Near,No,80,Very Strong,11,11,7,1
RM077,35,26-35,Single,Male,No,Marketing,High,Sales Executive,Sales,Intermediate,Medium,Low,Low,"$4,312.00 ",Upto 5k,$32.00 ,$776.00 ,14,Rarely,Near,No,80,Neutral,16,15,13,2
RM078,45,36-45,Married,Male,No,Other,Very High,Research Director,Research & Development,Senior,High,Low,Low,"$13,245.00 ",10k-15k,$52.00 ,$193.00 ,14,Rarely,Near,Yes,80,Neutral,17,0,0,0
RM079,37,36-45,Single,Male,No,Medical,Low,Research Director,Research & Development,Senior,High,High,Low,"$13,664.00 ",10k-15k,$30.00 ,$397.00 ,13,Rarely,Near,No,80,Weak,16,5,2,0
RM080,46,46-55,Divorced,Male,No,Medical,Medium,Human Resources,Human Resources,Intermediate,High,Medium,High,"$5,021.00 ",5k-10k,$80.00 ,$945.00 ,22,Rarely,Near,Yes,80,Very Strong,16,4,2,0
RM081,30,26-35,Married,Male,No,Life Sciences,Very High,Laboratory Technician,Research & Development,Intermediate,Medium,Very High,Low,"$5,126.00 ",5k-10k,$55.00 ,$852.00 ,12,Rarely,Near,Yes,80,Strong,10,10,8,3
RM082,35,26-35,Single,Male,No,Medical,Medium,Research Scientist,Research & Development,Entry Level,Medium,High,Low,"$2,859.00 ",Upto 5k,$30.00 ,"$1,214.00 ",18,Rarely,Near,No,80,Weak,6,6,4,0
RM083,55,46-55,Married,Male,No,Life Sciences,Low,Sales Executive,Sales,Senior,High,Very High,Low,"$10,239.00 ",10k-15k,$70.00 ,$111.00 ,14,Rarely,Near,No,80,Very Strong,24,1,0,1
RM084,38,36-45,Divorced,Female,No,Medical,Medium,Research Scientist,Research & Development,Intermediate,Low,Very High,Low,"$5,329.00 ",5k-10k,$79.00 ,$573.00 ,12,Non,Near,Yes,80,Very Strong,17,13,11,1
RM085,34,26-35,Married,Male,No,Medical,Low,Manufacturing Director,Research & Development,Intermediate,High,Medium,Low,"$4,325.00 ",Upto 5k,$94.00 ,"$1,153.00 ",15,Rarely,Near,No,80,Strong,5,5,2,1
RM086,56,55+,Single,Male,No,Life Sciences,Very High,Manufacturing Director,Research & Development,Senior,Low,Very High,Low,"$7,260.00 ",5k-10k,$49.00 ,"$1,400.00 ",11,Rarely,Near,No,80,Weak,37,6,4,0
RM087,23,18-25,Divorced,Male,No,Technical Degree,High,Sales Representative,Sales,Entry Level,High,Low,Low,"$2,322.00 ",Upto 5k,$62.00 ,$541.00 ,13,Rarely,Near,No,80,Strong,3,0,0,0
RM088,51,46-55,Married,Male,No,Life Sciences,Very High,Laboratory Technician,Research & Development,Entry Level,High,Very High,High,"$2,075.00 ",Upto 5k,$96.00 ,$432.00 ,23,Rarely,Near,No,80,Neutral,10,4,2,0
RM089,30,26-35,Married,Male,No,Life Sciences,High,Healthcare Representative,Research & Development,Intermediate,Medium,Very High,Low,"$4,152.00 ",Upto 5k,$99.00 ,$288.00 ,19,Rarely,Near,No,80,Weak,11,11,10,10
RM090,46,46-55,Single,Male,Yes,Medical,High,Sales Executive,Sales,Senior,Medium,Very High,Low,"$9,619.00 ",5k-10k,$64.00 ,$669.00 ,16,Rarely,Near,No,80,Very Strong,9,9,8,4
RM091,40,36-45,Married,Male,No,Life Sciences,High,Healthcare Representative,Research & Development,Manager,Medium,Medium,High,"$13,503.00 ",10k-15k,$78.00 ,$530.00 ,22,Frequently,Near,No,80,Very Strong,22,22,3,11
RM092,51,46-55,Single,Male,No,Marketing,High,Sales Executive,Sales,Intermediate,High,Very High,High,"$5,441.00 ",5k-10k,$71.00 ,$632.00 ,22,Rarely,Far,Yes,80,Very Strong,11,10,7,1
RM093,30,26-35,Divorced,Female,No,Medical,High,Sales Executive,Sales,Intermediate,Medium,Medium,Low,"$5,209.00 ",5k-10k,$63.00 ,"$1,334.00 ",12,Rarely,Near,Yes,80,Neutral,11,11,8,2
RM094,46,46-55,Married,Male,No,Medical,High,Healthcare Representative,Research & Development,Senior,Medium,Low,Low,"$10,673.00 ",10k-15k,$40.00 ,$638.00 ,13,Frequently,Near,Yes,80,Strong,21,10,9,9
RM095,32,26-35,Single,Male,No,Medical,Medium,Sales Executive,Sales,Intermediate,High,High,Low,"$5,010.00 ",5k-10k,$87.00 ,"$1,093.00 ",16,Rarely,Near,No,80,Weak,12,11,8,5
RM096,54,46-55,Married,Female,No,Technical Degree,Low,Research Director,Research & Development,Senior,High,High,Low,"$13,549.00 ",10k-15k,$60.00 ,"$1,217.00 ",12,Rarely,Near,No,80,Weak,16,4,3,0
RM097,24,18-25,Married,Female,No,Other,Low,Sales Executive,Sales,Intermediate,High,High,High,"$4,999.00 ",Upto 5k,$33.00 ,"$1,353.00 ",21,Rarely,Near,No,80,Weak,4,3,2,0
RM098,28,26-35,Married,Male,No,Medical,Medium,Sales Executive,Sales,Intermediate,High,High,Low,"$4,221.00 ",Upto 5k,$43.00 ,$120.00 ,15,Non,Near,No,80,Neutral,5,5,4,0
RM099,58,55+,Single,Male,No,Medical,Very High,Sales Executive,Sales,Manager,High,High,Low,"$13,872.00 ",10k-15k,$37.00 ,$682.00 ,13,Rarely,Near,No,80,Strong,38,37,10,1
RM100,44,36-45,Married,Male,No,Medical,Medium,Laboratory Technician,Research & Development,Intermediate,High,Medium,Low,"$2,042.00 ",Upto 5k,$67.00 ,$489.00 ,12,Non,Far,No,80,Strong,17,3,2,1
RM1000,42,36-45,Married,Female,No,Human Resources,High,Manager,Human Resources,Manager,High,Low,Low,"$16,799.00 ",15k+,$31.00 ,"$1,147.00 ",14,Rarely,Near,No,80,Strong,21,20,7,0
RM1001,52,46-55,Married,Female,No,Other,High,Laboratory Technician,Research & Development,Entry Level,High,Low,Low,"$2,950.00 ",Upto 5k,$54.00 ,$258.00 ,13,Rarely,Near,No,80,Strong,12,5,4,0
RM1002,37,36-45,Single,Female,No,Medical,Low,Laboratory Technician,Research & Development,Entry Level,High,High,Low,"$3,629.00 ",Upto 5k,$94.00 ,"$1,462.00 ",18,Rarely,Moderate,No,80,Weak,8,3,2,0
RM1003,35,26-35,Single,Male,No,Life Sciences,High,Manufacturing Director,Research & Development,Senior,High,Very High,Low,"$9,362.00 ",5k-10k,$60.00 ,$200.00 ,11,Frequently,Moderate,No,80,Strong,10,2,2,2
RM1004,25,18-25,Married,Male,No,Technical Degree,Low,Laboratory Technician,Research & Development,Entry Level,High,Very High,Low,"$3,229.00 ",Upto 5k,$81.00 ,$949.00 ,11,Rarely,Near,No,80,Neutral,7,3,2,0
RM1005,26,26-35,Single,Male,No,Other,High,Laboratory Technician,Research & Development,Entry Level,Very High,Low,Low,"$3,578.00 ",Upto 5k,$100.00 ,$652.00 ,12,Rarely,Near,No,80,Very Strong,8,7,7,0
RM1006,29,26-35,Single,Male,No,Other,Medium,Human Resources,Human Resources,Senior,Medium,Low,Low,"$7,988.00 ",5k-10k,$51.00 ,$332.00 ,13,Rarely,Moderate,No,80,Weak,10,10,9,0
RM1007,49,46-55,Single,Male,Yes,Life Sciences,Low,Laboratory Technician,Research & Development,Intermediate,Medium,Low,High,"$4,284.00 ",Upto 5k,$97.00 ,"$1,475.00 ",20,Frequently,Far,No,80,Weak,20,4,3,1
RM1008,29,26-35,Single,Female,Yes,Other,High,Healthcare Representative,Research & Development,Senior,High,Very High,Low,"$7,553.00 ",5k-10k,$84.00 ,$337.00 ,12,Frequently,Moderate,Yes,80,Weak,9,8,7,7
RM1009,54,46-55,Single,Female,No,Medical,Very High,Research Director,Research & Development,Manager,High,Very High,Low,"$17,328.00 ",15k+,$54.00 ,$971.00 ,19,Rarely,Near,No,80,Very Strong,29,20,7,12
RM101,37,36-45,Divorced,Male,Yes,Human Resources,High,Human Resources,Human Resources,Entry Level,High,Low,High,"$2,073.00 ",Upto 5k,$63.00 ,$807.00 ,22,Rarely,Near,Yes,80,Very Strong,7,3,2,0
RM1010,58,55+,Married,Female,No,Medical,Very High,Research Director,Research & Development,Executive,High,Low,High,"$19,701.00 ",15k+,$76.00 ,"$1,055.00 ",21,Rarely,Near,Yes,80,Strong,32,9,8,1
RM1011,55,46-55,Divorced,Male,No,Medical,Medium,Research Director,Research & Development,Manager,Very High,Very High,Low,"$14,732.00 ",10k-15k,$81.00 ,"$1,136.00 ",13,Rarely,Near,No,80,Very Strong,31,7,7,0
RM1012,36,36-45,Single,Female,No,Marketing,Low,Sales Executive,Sales,Intermediate,High,Medium,Low,"$9,278.00 ",5k-10k,$99.00 ,"$1,174.00 ",16,Rarely,Near,Yes,80,Very Strong,15,5,4,0
RM1013,31,26-35,Single,Female,Yes,Life Sciences,Medium,Sales Representative,Sales,Entry Level,Low,High,Low,"$1,359.00 ",Upto 5k,$50.00 ,$667.00 ,12,Frequently,Near,No,80,Neutral,1,1,0,0
RM1014,30,26-35,Divorced,Female,No,Marketing,Very High,Sales Executive,Sales,Intermediate,High,Low,Low,"$4,779.00 ",Upto 5k,$73.00 ,$855.00 ,14,Rarely,Near,No,80,Neutral,8,3,2,0
RM1015,31,26-35,Single,Female,No,Life Sciences,Low,Research Director,Research & Development,Manager,High,Medium,Low,"$16,422.00 ",15k+,$93.00 ,$182.00 ,11,Rarely,Near,No,80,Strong,9,3,2,1
RM1016,34,26-35,Divorced,Male,No,Other,Very High,Research Scientist,Research & Development,Entry Level,High,Low,Low,"$2,996.00 ",Upto 5k,$91.00 ,$560.00 ,14,Frequently,Near,No,80,Strong,10,4,3,1
RM1017,31,26-35,Single,Female,Yes,Life Sciences,Low,Research Scientist,Research & Development,Entry Level,Medium,Medium,Low,"$1,261.00 ",Upto 5k,$34.00 ,$202.00 ,12,Rarely,Near,No,80,Strong,1,1,0,0
